,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
384,hurghada,57,EG,1578870796,54,27.26,33.81,57.2,9.17
385,harper,4,LR,1578870264,88,4.38,-7.72,77.47,2.75
386,blieskastel,90,DE,1578870796,93,49.24,7.26,42.01,9.17
387,marzuq,0,YE,1578870233,48,14.4,46.47,46.6,3.11
388,tigil,97,RU,1578870796,93,57.8,158.67,14.79,12.71
389,boyolangu,100,ID,1578870796,79,-8.12,111.89,77.09,0.65
390,kaka,0,TM,1578870796,68,37.35,59.61,32.63,6.93
391,luyang,24,CN,1578870796,95,27.62,110.1,38.59,2.28
392,pochutla,5,MX,1578870448,52,15.74,-96.47,89.6,10.8
393,koumac,84,NC,1578870516,52,-20.57,164.28,84.43,8.97
394,moindou,75,NC,1578870286,58,-21.69,165.68,84.2,5.82
395,neiafu,75,TO,1578870797,94,-18.65,-173.98,78.8,9.17
396,polis,75,CY,1578870797,87,35.04,32.43,50.0,1.12
397,tyup,100,KG,1578870797,59,42.73,78.36,20.93,3.56
398,araras,40,BR,1578870797,100,-22.36,-47.38,75.99,5.82
399,north bend,90,US,1578870185,76,43.41,-124.22,48.99,12.75
400,kathmandu,20,NP,1578870715,100,27.72,85.32,41.0,3.36
401,nizhnyaya omka,99,RU,1578870798,98,55.43,74.94,-1.35,7.7
402,alyangula,67,AU,1578870443,94,-13.85,136.42,80.6,4.7
403,dingle,89,PH,1578870240,86,11.0,122.67,75.69,6.91
404,oranjemund,30,NA,1578870243,96,-28.55,16.43,62.71,7.92
405,gillette,1,US,1578870798,58,44.29,-105.5,30.99,12.75
406,seminole,75,US,1578870798,88,28.71,-81.21,79.0,6.93
407,kulhudhuffushi,67,MV,1578870798,70,6.62,73.07,80.98,11.3
408,torbay,90,CA,1578870798,92,47.67,-52.73,21.0,4.7
409,general pico,0,AR,1578870645,39,-35.66,-63.76,83.43,10.85
410,constitucion,53,CL,1578870799,94,-35.33,-72.42,56.8,9.8
411,songkhla,20,TH,1578870799,94,6.83,100.67,75.2,1.16
412,andenes,61,NO,1578870799,100,69.31,16.12,35.01,9.17
413,gumdag,100,TM,1578870799,54,39.21,54.59,40.51,9.75
414,marsabit,34,KE,1578870278,53,2.33,37.99,79.02,15.43
415,vrangel,0,RU,1578870512,60,42.73,133.08,20.52,15.99
416,sjoholt,100,NO,1578870799,70,62.48,6.81,42.8,24.16
417,osakarovka,66,KZ,1578870800,91,50.56,72.57,-0.53,6.44
418,richards bay,100,ZA,1578870800,76,-28.78,32.04,79.47,0.49
419,maxixe,0,MZ,1578870800,78,-23.86,35.35,80.74,9.71
420,yayva,100,RU,1578870800,90,59.33,57.26,19.99,4.0
421,karaton,40,ID,1578870285,83,-6.34,106.1,80.01,4.7
422,praia da vitoria,20,PT,1578870675,81,38.73,-27.07,51.8,24.38
423,banyo,0,CM,1578870800,36,6.75,11.82,64.81,3.31
424,chirongui,20,YT,1578870801,94,-12.93,45.15,78.8,3.36
425,machali,0,CL,1578870801,25,-34.18,-70.67,87.8,9.17
426,lae,75,PG,1578870801,83,-6.72,146.98,78.8,3.36
427,maralal,92,KE,1578870801,70,1.1,36.7,67.6,2.13
428,oskemen,90,KZ,1578870801,92,49.96,82.61,23.0,4.47
429,santa rosa,75,PH,1578870802,88,14.31,121.11,77.0,2.24
430,kanniyakumari,1,IN,1578870802,75,8.08,77.57,78.15,17.72
431,sola,100,VU,1578870802,86,-13.88,167.55,80.98,14.58
432,gotsu,63,JP,1578870802,66,35.0,132.22,46.29,22.32
433,lewistown,90,US,1578870802,84,40.6,-77.57,48.0,6.93
434,castel san giovanni,56,IT,1578870802,86,45.06,9.43,39.99,3.36
435,pitimbu,40,BR,1578870802,74,-7.47,-34.81,80.6,9.17
436,chulman,100,RU,1578870803,99,56.85,124.91,-6.41,2.3
437,pevek,100,RU,1578870803,97,69.7,170.31,-1.71,6.13
438,goure,58,NE,1578870803,26,13.98,10.27,71.55,7.38
439,ullapool,80,GB,1578870803,68,57.9,-5.16,44.01,8.99
440,mezen,81,RU,1578870803,95,65.85,44.24,25.9,17.25
441,pilar,2,BR,1578870240,83,-9.6,-35.96,77.0,5.82
442,sisimiut,0,GL,1578870265,46,66.94,-53.67,-3.1,10.54
443,iberia,40,US,1578870606,63,29.95,-91.75,62.6,3.78
444,gazojak,28,TM,1578870803,70,41.19,61.4,29.1,1.72
445,fortuna,40,US,1578870804,100,40.6,-124.16,50.0,4.7
446,orotukan,100,RU,1578870804,96,62.27,151.7,-22.85,2.24
447,husavik,100,IS,1578870804,63,66.04,-17.34,26.6,17.22
448,alta floresta,92,BR,1578870804,97,-9.88,-56.09,72.1,4.63
449,chulym,100,RU,1578870271,97,55.1,80.96,3.74,7.63
450,mana,16,GF,1578870804,95,5.66,-53.78,72.39,2.86
451,axim,18,GH,1578870804,81,4.87,-2.24,78.98,3.49
452,la grande,90,US,1578870805,86,45.32,-118.09,48.0,9.17
453,orlik,36,RU,1578870805,84,52.52,99.83,-13.49,2.82
454,clyde river,90,CA,1578870274,75,70.47,-68.59,-14.8,17.22
455,nizhniy kuranakh,100,RU,1578870805,96,58.84,125.49,-1.34,7.52
456,batemans bay,4,AU,1578870623,54,-35.72,150.18,73.99,1.99
457,geraldton,0,AU,1578870806,82,-28.77,114.6,68.0,6.93
458,mulege,91,MX,1578870806,58,26.88,-111.98,63.28,10.94
459,keuruu,67,FI,1578870806,100,62.27,24.7,32.0,10.29
460,pangascasan,97,PH,1578870806,79,16.12,120.09,74.93,1.1
461,moses lake,75,US,1578870601,61,47.13,-119.28,46.4,12.75
462,ruyigi,76,BI,1578870806,96,-3.45,30.32,60.93,1.16
463,havre-saint-pierre,90,CA,1578870597,50,50.23,-63.6,6.8,5.82
464,kot samaba,100,PK,1578870807,81,28.55,70.47,50.81,4.05
465,baghdad,98,IQ,1578870528,56,33.34,44.4,46.4,3.36
466,port augusta,0,AU,1578870807,64,-32.5,137.77,82.0,0.96
467,sohag,11,EG,1578870807,61,26.56,31.69,50.0,5.82
468,abu samrah,74,SY,1578870807,87,35.3,37.18,47.55,9.53
469,tautira,90,PF,1578870708,62,-17.73,-149.15,86.0,9.17
470,segezha,65,RU,1578870807,80,63.74,34.32,29.01,14.12
471,saint-leu,20,RE,1578870221,83,-21.15,55.28,77.0,4.7
472,san juan,53,AR,1578870431,39,-31.54,-68.54,90.09,19.04
473,labuhan,100,ID,1578870808,88,-6.88,112.21,76.86,8.72
474,sarh,0,TD,1578870808,49,9.14,18.39,69.8,4.99
475,kieta,95,PG,1578870808,70,-6.22,155.63,83.88,3.47
476,tutoia,51,BR,1578870808,95,-2.76,-42.27,74.8,2.71
477,saint-georges,40,GD,1578870808,74,12.06,-61.75,80.6,17.22
478,carballo,90,ES,1578870808,81,43.21,-8.69,53.01,6.93
479,solnechnyy,99,RU,1578870809,96,50.72,136.63,-3.98,0.45
480,port-cartier,90,CA,1578870263,50,50.03,-66.87,7.0,6.93
481,kyzyl-suu,100,KG,1578870809,59,42.34,78.0,27.54,4.29
482,port blair,40,IN,1578870431,78,11.67,92.75,73.4,2.24
483,caohai,0,CN,1578870809,94,26.87,104.28,34.92,3.18
484,juba,0,SS,1578870809,15,4.85,31.58,72.99,3.31
485,along,0,IN,1578870809,69,28.17,94.77,43.7,4.54
486,sao jose da coroa grande,32,BR,1578870601,78,-8.9,-35.15,80.94,12.53
487,rocha,0,UY,1578870615,79,-34.48,-54.33,58.01,5.19
488,emba,3,KZ,1578870810,99,48.83,58.14,2.21,0.34
489,puerto escondido,5,MX,1578870026,79,15.85,-97.07,84.2,6.93
490,seagoville,1,US,1578870810,62,32.64,-96.54,55.4,5.82
491,majene,100,ID,1578870810,71,-3.54,118.97,81.07,5.68
492,dehloran,89,IR,1578870810,53,32.69,47.27,49.05,3.0
493,sobolevo,100,RU,1578870810,96,54.43,31.9,33.73,12.8
494,samarai,84,PG,1578870810,68,-10.62,150.67,84.31,1.03
495,mamou,0,GN,1578870810,34,10.5,-12.0,67.42,3.4
496,mayo,1,US,1578870811,66,38.89,-76.51,62.6,6.93
497,kuching,75,MY,1578870754,100,1.55,110.33,75.2,1.19
498,rosario do sul,16,BR,1578870811,33,-30.26,-54.91,81.84,9.64
499,evensk,67,RU,1578870811,76,61.95,159.23,-19.16,8.55
500,dwarka,42,IN,1578870811,80,22.24,68.97,72.64,25.7
501,benito juarez,40,MX,1578870811,17,19.39,-99.17,82.4,4.7
502,narsaq,0,GL,1578870812,31,60.92,-46.05,5.0,5.82
503,sao geraldo do araguaia,100,BR,1578870812,96,-6.4,-48.55,73.8,1.86
504,whitehorse,5,CA,1578870650,66,60.72,-135.05,-23.01,3.31
505,broken hill,0,AU,1578870812,27,-31.95,141.43,75.2,11.41
506,tecpatan,40,MX,1578870804,57,17.13,-93.3,78.8,21.92
507,lima,48,PE,1578870728,78,-12.04,-77.03,73.4,13.87
508,havre,75,FR,1578870812,87,49.58,0.33,42.8,6.93
509,kysyl-syr,98,RU,1578870635,98,63.9,122.76,-13.86,5.41
510,bilma,59,NE,1578870813,15,18.69,12.92,67.77,11.56
511,vesoul,90,FR,1578870813,93,47.58,5.83,41.0,4.7
512,zhangjiakou,34,CN,1578870813,82,40.81,114.88,-1.82,7.0
513,miguelopolis,40,BR,1578870813,74,-20.18,-48.03,78.8,9.17
514,mgandu,97,TZ,1578870813,90,-5.95,34.13,59.58,3.42
515,sol-iletsk,69,RU,1578870604,95,51.16,54.99,6.76,7.63
516,kidal,0,ML,1578870219,28,18.44,1.41,55.65,19.37
517,owando,39,CG,1578870814,65,-0.48,15.9,74.7,2.42
518,avera,90,US,1578870814,90,33.19,-82.53,64.99,1.79
519,kristiinankaupunki,3,FI,1578870814,80,62.27,21.38,34.39,8.75
520,namibe,79,AO,1578870814,79,-15.2,12.15,73.31,7.4
521,xining,100,CN,1578870814,75,36.62,101.77,5.36,4.38
522,marrakesh,0,MA,1578870784,57,31.63,-8.01,50.0,3.36
523,adrar,0,MR,1578870814,22,20.5,-10.07,56.61,12.28
524,lasa,5,IT,1578870815,20,46.62,10.7,33.01,6.93
525,shaoyang,7,CN,1578870815,93,27.23,111.45,38.59,2.21
526,acapulco,5,MX,1578870252,70,16.86,-99.89,86.0,9.17
527,emerald,75,AU,1578870815,65,-23.53,148.17,82.99,14.99
528,watsa,0,CD,1578870815,41,3.04,29.54,59.86,2.13
529,santa maria,79,BR,1578870554,55,-29.68,-53.81,86.0,5.82
530,sitka,1,US,1578870815,37,57.05,-135.33,21.2,3.36
531,sur,0,OM,1578870631,51,22.57,59.53,63.34,12.73
532,yeppoon,40,AU,1578870815,65,-23.13,150.73,82.4,10.29
533,pandan,46,PH,1578870277,71,14.05,124.17,79.39,9.75
534,uruzgan,85,AF,1578870816,94,32.83,66.0,25.39,0.72
535,mitu,52,CO,1578870816,76,1.2,-70.17,73.9,2.3
536,coatbridge,75,GB,1578870816,81,55.86,-4.02,42.8,14.99
537,dunedin,0,NZ,1578870816,54,-45.87,170.5,60.01,20.0
538,porto novo,20,BJ,1578870778,88,6.5,2.6,82.4,8.05
539,chapais,75,CA,1578870161,70,49.78,-74.85,-2.2,6.93
540,guerrero negro,100,MX,1578870816,60,27.98,-114.06,62.65,8.05
541,outlook,100,CA,1578870272,62,51.5,-107.05,-11.99,3.0
542,sinnamary,0,GF,1578870817,82,5.38,-52.95,78.44,18.57
543,lere,83,NG,1578870817,36,10.39,8.57,66.58,2.39
544,hornepayne,59,CA,1578870817,96,49.21,-84.77,-7.98,6.62
545,beringovskiy,100,RU,1578870574,85,63.05,179.32,22.12,4.9
546,yarmouth,1,US,1578870121,38,41.71,-70.23,59.0,11.41
547,ortakoy,75,TR,1578870817,86,38.74,34.04,37.4,3.36
548,cayenne,40,GF,1578870817,78,4.93,-52.33,80.6,6.93
549,luzino,75,RU,1578870818,78,54.95,73.04,12.2,6.71
550,coihaique,60,CL,1578870818,34,-45.58,-72.07,80.6,4.7
551,tambacounda,51,SN,1578870616,14,13.75,-13.76,76.62,7.87
552,otradnoye,90,RU,1578870818,93,59.78,30.82,41.0,8.95
553,trelew,0,AR,1578870159,45,-43.25,-65.31,68.38,17.83
554,melfort,90,CA,1578870818,92,52.87,-104.62,6.8,4.7
555,teya,94,RU,1578870818,93,60.38,92.63,0.99,6.29
556,sabinas,100,MX,1578870818,39,27.85,-101.12,60.96,4.12
557,iskateley,98,RU,1578870818,96,67.68,53.15,21.6,7.67
558,wattegama,0,LK,1578870223,93,6.8,81.48,68.0,5.03
559,rendsburg,75,DE,1578870819,100,54.3,9.67,45.0,10.29
560,umba,100,RU,1578870819,79,66.69,34.34,27.99,13.76
561,aasiaat,95,GL,1578870819,59,68.71,-52.87,-3.14,4.65
